,timestamp,X_im,Y_im,Frame_Probability,X_tcp,Y_tcp,Z_tcp,X,Y,Z,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,x_filt,velocity_im,velocity_force,force_curr_filt,stiffness,class_num,Frame_Probability_sacrum,X_sac,Y_sac
448,1623073153.9286447,297,94,1.1598031520843506,-0.0016993416302406028,0.07460525411340807,0.04364858564808549,0.7950153339137828,0.030013962377267667,-0.1800824611532588,1.1743684712794138,1.099038326230689,1.227553700146997,0.33385398983955383,-1.0792369842529297,-15.591400146484375,0.2419160008430481,-0.01148299966007471,0.011660000309348106,297.29289562512787,0.000563399417019525,-0.0001434293474469861,-16.4199709211077,0,"[0.0, 0.0, 0.0]",0.0,104.0,44.0
449,1623073153.970544,297,94,1.1590981483459473,-0.0016993416302406028,0.07460525411340807,0.04364858564808549,0.7950153339137828,0.030013962377267667,-0.1800824611532588,1.1743684712794138,1.099038326230689,1.227553700146997,0.33385398983955383,-1.0792369842529297,-15.591400146484375,0.2419160008430481,-0.01148299966007471,0.011660000309348106,297.21376805256955,0.0005665276078526432,-4.800088065011109e-05,-16.181399754115514,0,"[0.0, 0.0, 0.0]",0.0,104.0,44.0
450,1623073154.006658,297,94,1.1591049432754517,-0.0016993416302406028,0.07460525411340807,0.04364858564808549,0.7950153339137828,0.030013962377267667,-0.1800824611532588,1.1743684712794138,1.099038326230689,1.227553700146997,0.33385398983955383,-1.0792369842529297,-15.591400146484375,0.2419160008430481,-0.01148299966007471,0.011660000309348106,297.1560172852682,0.000568813587860469,4.742758614676462e-05,-15.942828587123325,0,"[0.0, 0.0, 0.0]",0.0,104.0,44.0
451,1623073154.0399427,297,94,1.1591049432754517,-0.0017552970758330372,0.0751070277358408,0.04356654651445824,0.7949263439475933,0.029953220665813192,-0.17958243172421065,1.1731115604868714,1.0978260976304688,1.2282397167355141,0.33385398983955383,-1.0792369842529297,-15.591400146484375,0.2419160008430481,-0.01148299966007471,0.011660000309348106,297.11386824649367,0.0005704834408490637,9.4284711565291e-05,-15.825685773577009,0,"[0.0, 0.0, 0.0]",0.0,104.0,44.0
452,1623073154.0750005,297,94,1.1451187133789062,-0.0017552970758330372,0.0751070277358408,0.04356654651445824,0.7949263439475933,0.029953220665813192,-0.17958243172421065,1.1731115604868714,1.0978260976304688,1.2282397167355141,0.33385398983955383,-1.0792369842529297,-15.591400146484375,0.2419160008430481,-0.01148299966007471,0.011660000309348106,297.08310603236845,0.0005717028950199263,0.0001411418369838181,-15.708542960030691,0,"[0.0, 0.0, 0.0]",0.0,104.0,44.0
453,1623073154.1114752,297,94,1.14511239528656,-0.0017552970758330372,0.0751070277358408,0.04356654651445824,0.7949263439475933,0.029953220665813192,-0.17958243172421065,1.1731115604868714,1.0978260976304688,1.2282397167355141,0.6538540124893188,-1.0892369747161865,-16.241397857666016,0.24091599881649017,-0.026482999324798584,0.020659999921917915,297.0606544214801,0.0005725932672414622,0.00015085623604910837,-15.684256962367465,0,"[0.0, 0.0, 0.0]",0.0,104.0,44.0
454,1623073154.14371,297,94,1.064927339553833,-0.0017817068058231939,0.07557327965355762,0.04352044156012935,0.7948749374678024,0.029920924755171944,-0.17911710566710898,1.1718143014047744,1.0966421865309375,1.2290028276645542,0.6538540124893188,-1.0892369747161865,-16.241397857666016,0.24091599881649017,-0.026482999324798584,0.020659999921917915,297.04426825273976,0.0005732432804614841,0.00011371350969587156,-15.777113778250557,0,"[0.0, 0.0, 0.0]",0.0,104.0,44.0
455,1623073154.1816144,297,94,1.064927339553833,-0.0017817068058231939,0.07557327965355762,0.04352044156012935,0.7948749374678024,0.029920924755171944,-0.17911710566710898,1.1718143014047744,1.0966421865309375,1.2290028276645542,0.6538540124893188,-1.0892369747161865,-16.241397857666016,0.24091599881649017,-0.026482999324798584,0.020659999921917915,297.0323089092734,0.0005737177788648245,7.657078334263474e-05,-15.86997059413365,0,"[0.0, 0.0, 0.0]",0.0,104.0,44.0
456,1623073154.2203078,297,94,1.0649360418319702,-0.0018467445576089841,0.07600064436705117,0.043473279612059046,0.7948210207960074,0.029850771384908964,-0.17869135191905047,1.1706678419591119,1.0954870479653311,1.2296737247195937,0.6538540124893188,-1.0892369747161865,-16.241397857666016,0.24091599881649017,-0.026482999324798584,0.020659999921917915,297.0235804567344,0.0005740641337232321,3.942805698939793e-05,-15.962827410016741,0,"[0.0, 0.0, 0.0]",0.0,104.0,44.0
457,1623073154.2572007,297,94,1.0789347887039185,-0.0018467445576089841,0.07600064436705117,0.043473279612059046,0.7948210207960074,0.029850771384908964,-0.17869135191905047,1.1706678419591119,1.0954870479653311,1.2296737247195937,0.6538540124893188,-1.0892369747161865,-16.241397857666016,0.24091599881649017,-0.026482999324798584,0.020659999921917915,297.0172100498688,0.0005743169412382558,2.2853306361618304e-06,-16.05568422589983,0,"[0.0, 0.0, 0.0]",0.0,104.0,44.0
